Anno,Temperatura dell'aria (degC),Precipitazione totale (kg/m2),Precipitazione solida (kg/m2),Frazione di copertura nevosa (%),Equivalente in acqua della neve (kg/m2),Altezza neve (cm),Frazione precipitazione liquida (%),Frazione precipitazione solida (%)
1950,10.751564746074214,1000.1360275582427,139.88484715586122,10.086387852593852,14.38916474298224,0.24138982981872112,89.48342850646168,10.51657149353832
1951,10.886600154515657,946.1422112780576,118.94799691653378,10.942919217842622,25.098106782397213,0.5080639259970455,87.60647671905308,12.393523280946924
1952,9.819191781009872,1158.8554756639576,181.78804330563509,18.2858160425442,50.96498448521626,1.1817360954616707,84.10894502309421,15.891054976905798
1953,9.889950905366026,1001.1610131511819,215.13595830085646,18.382121934106767,66.97840185991257,1.5005283039431092,82.4087047425342,17.591295257465802
1954,10.608686976400719,935.9264587422724,119.89677162040914,7.573577261580083,11.894556152636042,0.20168264358288837,90.88674505762849,9.113254942371508
1955,9.550198449234538,1044.9969501402845,213.51995459064088,17.549577949575745,54.975240934990154,1.0530012870240977,83.37917215330904,16.62082784669097
1956,10.197676496971283,1043.1999742103865,173.5503748688779,14.643355161936134,37.33771511771216,0.7716161405253698,86.11105985442906,13.888940145570935
1957,10.422091088049006,972.6369808401477,167.42408349241737,11.089451116231515,20.325985312752078,0.35559443078377845,88.32383530488379,11.676164695116205
1958,10.63972628854365,1107.353525496289,76.28442896589557,6.661417057557595,8.664317375609441,0.13941812310178128,93.56388405839745,6.436115941602547
1959,10.388452834014288,1152.5559234878474,106.6785048609283,7.660806740850383,11.592555809324063,0.19025112677340306,91.30417007216892,8.695829927831092
1960,10.802416578885191,1015.9987244867565,88.86627339944212,8.392368083456711,13.513147463678939,0.2509487329934725,91.66418397016209,8.3358160298379
1961,10.473118232752833,976.1518512311914,189.646132438485,14.08976465788386,23.52084463003448,0.38705241897768433,84.42625237449975,15.573747625500266
1962,9.475948170674817,1240.944816010589,224.31475479302082,21.8500979527231,60.436336023639306,1.2417712359125346,84.92264428489469,15.07735571510531
1963,10.574966189169695,1026.4908377835297,54.68620510885685,4.390439516571898,4.910307780773916,0.07810818112474487,92.87999742617954,7.120002573820458
1964,9.640943413971016,1163.5192556837042,157.54215875567033,14.60403215318466,35.4741768263682,0.6820312318791671,86.35020209945436,13.649797900545627
1965,10.363353635227256,1123.9584162212182,108.30371484516797,8.492456663840208,14.449860778811093,0.2540186106120852,91.48749892746605,8.512501072533938
1966,10.038306887093361,1028.0483452634778,146.20529017709217,13.202152291067632,22.051481482099685,0.37617537758393765,84.04498219003334,15.955017809966664
1967,10.417893848121238,1174.0533891614566,166.06501246911276,15.294789280605585,49.50022780061582,1.105536368587886,88.70591926122923,11.29408073877076
1968,9.861022735465065,1257.4349873882902,138.08346469462737,10.414756483382638,17.752368666765197,0.3135997699240806,91.23860997319575,8.761390026804255
